Nokian,Hakkapeliitta R2 SUV,225,60,R,17,99,R,XL,Run Flat,TT,Зимние(шипованные)
BFGoodrich,Winter Slalom KSI,225,65, ,17,99,S, ,TL,Зимние(нешипованные)
Pirelli,Winter SottoZero Serie II,245,45,R,19,102,V,XL,Run Flat,TL,Зимние(нешипованные)
Pirelli,Scorpion Ice & Snow,265,45,R,21,104,H,TL, , ,Зимние(нешипованные)
Toyo,H08,95,75,R,16,107,C,S, ,TL,Летние
Mitas,Sport Force+,120,65, ,17,56,W, , ,TL,Летние
Pirelli,Winter SnowControl serie 3,175,70,R,14,84,H,TL, , ,Зимние(нешипованные)
Hankook,Winter I*Cept Evo2 W320,255, ,R,19,96,V,XL,TL/TT,
BFGoodrich,Mud-Terrain T/A KM2,235,85,R,16,120,R,Q, ,TL,Внедорожные
Continental,ContiSportContact 5,245,45,R, ,96,W,SSR,FR,TL,Летние
